Date,Time,Crime_Type,Latitude,Longitude,Address,District,Description,Status,Response_Time_Minutes
2025-01-06,05:33:44,Vandalism,41.9366,-87.5746,2836 Elm St,Downtown,Reported vandalism incident at 2836 Elm St.,Active,48
2025-01-06,14:40:23,Motor Vehicle Theft,41.9416,-87.6267,1086 Washington Blvd,Suburban,Reported motor vehicle theft incident at 1086 Washington Blvd.,Cleared by Arrest,9
2025-01-06,17:17:46,Property Theft,41.843,-87.6665,1873 Broadway,South,Reported property theft incident at 1873 Broadway.,Under Investigation,56
2025-01-06,17:51:26,Vandalism,41.8708,-87.6985,7446 Cedar St,Downtown,Reported vandalism incident at 7446 Cedar St.,Active,12
2025-01-06,17:58:14,Drug Trafficking,41.9637,-87.7029,6289 Cedar St,Central,Reported drug trafficking incident at 6289 Cedar St.,Under Investigation,44
2025-01-06,19:52:19,Loitering,41.9412,-87.6662,9811 Broadway,North,Reported loitering incident at 9811 Broadway.,Closed,25
2025-01-06,20:31:50,Violent Disorder,41.9514,-87.6571,1460 Elm St,South,Reported violent disorder incident at 1460 Elm St.,Cleared by Arrest,21
2025-01-07,07:15:12,Burglary,41.7937,-87.7261,1886 Park Ln,Central,Reported burglary incident at 1886 Park Ln.,Active,34
2025-01-07,17:25:21,Narcotics Distribution,41.914,-87.5861,1438 Park Ln,Central,Reported narcotics distribution incident at 1438 Park Ln.,Cleared by Arrest,22
2025-01-07,20:07:50,Aggravated Assault,41.7789,-87.5979,2355 Oak Ave,South,Reported aggravated assault incident at 2355 Oak Ave.,Closed,29
2025-01-07,22:13:45,Drug Possession,41.8491,-87.6383,9175 Elm St,West,Reported drug possession incident at 9175 Elm St.,Under Investigation,28
2025-01-07,23:48:06,Property Theft,41.9512,-87.6397,882 Washington Blvd,South,Reported property theft incident at 882 Washington Blvd.,Closed,44
2025-01-08,09:28:13,Narcotics Distribution,41.9601,-87.5309,7392 Maple Dr,East,Reported narcotics distribution incident at 7392 Maple Dr.,Cleared by Arrest,53
2025-01-08,10:34:03,Robbery,41.7803,-87.6737,4453 Park Ln,East,Reported robbery incident at 4453 Park Ln.,Active,18
2025-01-08,13:59:54,Traffic Violation,41.8256,-87.5467,9729 Broadway,Central,Reported traffic violation incident at 9729 Broadway.,Cleared by Arrest,54
2025-01-08,16:19:30,Larceny,41.8498,-87.7186,1683 Cedar St,West,Reported larceny incident at 1683 Cedar St.,Cleared by Arrest,51
2025-01-08,19:55:39,Drug Trafficking,41.8607,-87.5894,961 Washington Blvd,Suburban,Reported drug trafficking incident at 961 Washington Blvd.,Under Investigation,24
2025-01-09,00:48:31,Public Intoxication,41.8118,-87.5554,8818 Main St,North,Reported public intoxication incident at 8818 Main St.,Active,25
2025-01-09,09:07:44,Burglary,41.7897,-87.6118,9139 Maple Dr,South,Reported burglary incident at 9139 Maple Dr.,Closed,57
2025-01-09,12:56:34,Loitering,41.8916,-87.6727,3843 Oak Ave,Downtown,Reported loitering incident at 3843 Oak Ave.,Cleared by Arrest,12
2025-01-09,13:43:25,Arson,41.9441,-87.5927,6847 Broadway,West,Reported arson incident at 6847 Broadway.,Active,57
2025-01-09,15:35:14,Fraud,41.8462,-87.69,5147 Washington Blvd,Downtown,Reported fraud incident at 5147 Washington Blvd.,Under Investigation,53
2025-01-09,22:23:22,Burglary,41.9107,-87.6702,3987 Washington Blvd,Uptown,Reported burglary incident at 3987 Washington Blvd.,Under Investigation,12
2025-01-10,03:52:36,Arson,41.8614,-87.7191,9266 Washington Blvd,West,Reported arson incident at 9266 Washington Blvd.,Cleared by Arrest,5
2025-01-10,07:28:26,Vandalism,41.9581,-87.6098,8276 Main St,East,Reported vandalism incident at 8276 Main St.,Cleared by Arrest,47
2025-01-10,08:03:16,Simple Assault,41.8317,-87.611,8161 Main St,Uptown,Reported simple assault incident at 8161 Main St.,Closed,43
2025-01-10,08:52:28,Drug Trafficking,41.8234,-87.5547,891 Washington Blvd,North,Reported drug trafficking incident at 891 Washington Blvd.,Cleared by Arrest,40
2025-01-10,11:41:39,Vandalism,41.8348,-87.6782,5016 Washington Blvd,West,Reported vandalism incident at 5016 Washington Blvd.,Active,5
2025-01-10,13:32:20,Property Theft,41.832,-87.5998,8410 Oak Ave,West,Reported property theft incident at 8410 Oak Ave.,Closed,55
2025-01-10,18:15:44,Arson,41.9289,-87.6181,8392 Oak Ave,East,Reported arson incident at 8392 Oak Ave.,Active,26
2025-01-10,22:45:10,Larceny,41.8985,-87.6343,7213 Main St,Downtown,Reported larceny incident at 7213 Main St.,Active,57
2025-01-11,02:51:39,Public Intoxication,41.95,-87.6586,934 Oak Ave,Uptown,Reported public intoxication incident at 934 Oak Ave.,Under Investigation,5
2025-01-11,07:35:58,Traffic Violation,41.9294,-87.5892,8415 Main St,Central,Reported traffic violation incident at 8415 Main St.,Under Investigation,10
2025-01-11,09:41:47,Arson,41.8076,-87.6429,9176 Elm St,Suburban,Reported arson incident at 9176 Elm St.,Active,27
2025-01-11,10:45:41,Violent Disorder,41.8477,-87.5665,4014 Maple Dr,Downtown,Reported violent disorder incident at 4014 Maple Dr.,Closed,21
2025-01-11,14:07:02,Narcotics Distribution,41.9482,-87.6768,9827 Oak Ave,North,Reported narcotics distribution incident at 9827 Oak Ave.,Closed,20
2025-01-12,03:13:55,Drug Possession,41.8352,-87.6878,6261 Washington Blvd,Downtown,Reported drug possession incident at 6261 Washington Blvd.,Under Investigation,44
2025-01-12,07:59:45,Arson,41.8357,-87.6221,1249 Maple Dr,Suburban,Reported arson incident at 1249 Maple Dr.,Active,52
2025-01-12,13:03:10,Traffic Violation,41.9024,-87.6998,1896 Maple Dr,North,Reported traffic violation incident at 1896 Maple Dr.,Active,11
2025-01-12,15:27:37,Homicide,41.9608,-87.6072,4182 Cedar St,North,Reported homicide incident at 4182 Cedar St.,Under Investigation,46
2025-01-13,00:31:13,Drug Trafficking,41.8336,-87.7017,2967 Maple Dr,West,Reported drug trafficking incident at 2967 Maple Dr.,Active,51
2025-01-13,04:34:49,Simple Assault,41.8202,-87.6439,7757 Cedar St,Uptown,Reported simple assault incident at 7757 Cedar St.,Cleared by Arrest,27
2025-01-13,06:22:47,Larceny,41.8105,-87.5725,4236 Washington Blvd,North,Reported larceny incident at 4236 Washington Blvd.,Under Investigation,37
2025-01-13,07:36:53,Robbery,41.9459,-87.5969,2599 Washington Blvd,Uptown,Reported robbery incident at 2599 Washington Blvd.,Closed,53
2025-01-13,11:54:49,Larceny,41.9646,-87.6789,3984 Elm St,Downtown,Reported larceny incident at 3984 Elm St.,Closed,27
2025-01-13,14:13:24,Property Theft,41.8534,-87.5993,3923 Main St,Downtown,Reported property theft incident at 3923 Main St.,Cleared by Arrest,40
2025-01-13,14:37:01,Violent Disorder,41.8668,-87.6701,8477 Main St,North,Reported violent disorder incident at 8477 Main St.,Under Investigation,44
2025-01-13,18:16:31,Burglary,41.9312,-87.6858,3530 Maple Dr,West,Reported burglary incident at 3530 Maple Dr.,Under Investigation,56
2025-01-13,19:55:21,Burglary,41.9496,-87.6531,5587 Park Ln,East,Reported burglary incident at 5587 Park Ln.,Active,57
2025-01-13,20:25:00,Drug Possession,41.9207,-87.7165,1710 Oak Ave,Uptown,Reported drug possession incident at 1710 Oak Ave.,Closed,60
2025-01-14,03:08:03,Fraud,41.9132,-87.5644,2544 Maple Dr,Suburban,Reported fraud incident at 2544 Maple Dr.,Cleared by Arrest,59
2025-01-14,03:59:40,Loitering,41.9699,-87.5565,2963 Washington Blvd,Suburban,Reported loitering incident at 2963 Washington Blvd.,Active,44
2025-01-14,12:34:14,Narcotics Distribution,41.9159,-87.6442,9559 Park Ln,Downtown,Reported narcotics distribution incident at 9559 Park Ln.,Active,45
2025-01-14,13:51:04,Disorderly Conduct,41.9508,-87.6035,5345 Oak Ave,Suburban,Reported disorderly conduct incident at 5345 Oak Ave.,Under Investigation,50
2025-01-14,13:52:16,Fraud,41.8077,-87.6891,7934 Washington Blvd,Uptown,Reported fraud incident at 7934 Washington Blvd.,Cleared by Arrest,11
2025-01-14,15:58:57,Motor Vehicle Theft,41.8285,-87.562,9702 Cedar St,South,Reported motor vehicle theft incident at 9702 Cedar St.,Under Investigation,7
2025-01-15,02:27:31,Vandalism,41.7793,-87.7255,6301 Washington Blvd,Downtown,Reported vandalism incident at 6301 Washington Blvd.,Closed,13
2025-01-15,02:43:58,Loitering,41.793,-87.6988,7945 Washington Blvd,Suburban,Reported loitering incident at 7945 Washington Blvd.,Closed,9
2025-01-15,04:04:09,Larceny,41.8302,-87.5629,504 Main St,Central,Reported larceny incident at 504 Main St.,Under Investigation,20
2025-01-15,09:22:25,Drug Trafficking,41.7993,-87.6672,5922 Broadway,South,Reported drug trafficking incident at 5922 Broadway.,Cleared by Arrest,59
2025-01-15,12:10:46,Drug Possession,41.8558,-87.5376,2406 Cedar St,West,Reported drug possession incident at 2406 Cedar St.,Active,21
2025-01-15,12:20:09,Aggravated Assault,41.8421,-87.5574,1778 Broadway,Suburban,Reported aggravated assault incident at 1778 Broadway.,Closed,60
2025-01-15,15:55:01,Fraud,41.8042,-87.5459,4551 Elm St,South,Reported fraud incident at 4551 Elm St.,Active,45
2025-01-15,18:13:07,Arson,41.9255,-87.719,7172 Elm St,East,Reported arson incident at 7172 Elm St.,Closed,50
2025-01-16,02:57:20,Traffic Violation,41.9244,-87.6532,7635 Maple Dr,Central,Reported traffic violation incident at 7635 Maple Dr.,Under Investigation,5
2025-01-16,03:29:44,Narcotics Distribution,41.9183,-87.6974,4099 Cedar St,Suburban,Reported narcotics distribution incident at 4099 Cedar St.,Closed,51
2025-01-16,06:06:39,Larceny,41.8133,-87.5814,6170 Maple Dr,Central,Reported larceny incident at 6170 Maple Dr.,Closed,32
2025-01-16,13:40:35,Burglary,41.9322,-87.5643,4318 Main St,Downtown,Reported burglary incident at 4318 Main St.,Active,33
2025-01-16,16:16:31,Narcotics Distribution,41.9149,-87.62,3549 Cedar St,West,Reported narcotics distribution incident at 3549 Cedar St.,Cleared by Arrest,33
2025-01-16,19:38:35,Motor Vehicle Theft,41.975,-87.6562,2600 Oak Ave,North,Reported motor vehicle theft incident at 2600 Oak Ave.,Closed,44
2025-01-17,00:28:37,Arson,41.8526,-87.6178,6332 Oak Ave,Suburban,Reported arson incident at 6332 Oak Ave.,Cleared by Arrest,34
2025-01-17,01:54:35,Robbery,41.9516,-87.6351,2537 Oak Ave,Central,Reported robbery incident at 2537 Oak Ave.,Cleared by Arrest,54
2025-01-17,04:05:17,Vandalism,41.8372,-87.6192,8548 Main St,South,Reported vandalism incident at 8548 Main St.,Closed,38
2025-01-17,05:16:48,Aggravated Assault,41.8138,-87.5948,5426 Park Ln,Uptown,Reported aggravated assault incident at 5426 Park Ln.,Active,58
2025-01-17,07:27:56,Larceny,41.8099,-87.6914,489 Broadway,Downtown,Reported larceny incident at 489 Broadway.,Under Investigation,22
2025-01-17,08:37:33,Property Theft,41.8686,-87.6434,2287 Washington Blvd,Suburban,Reported property theft incident at 2287 Washington Blvd.,Under Investigation,21
2025-01-17,14:41:04,Drug Trafficking,41.9312,-87.5523,5725 Cedar St,West,Reported drug trafficking incident at 5725 Cedar St.,Closed,31
2025-01-17,21:03:11,Arson,41.9364,-87.5975,3462 Cedar St,Suburban,Reported arson incident at 3462 Cedar St.,Cleared by Arrest,48
2025-01-17,22:15:25,Homicide,41.9165,-87.6595,733 Oak Ave,Suburban,Reported homicide incident at 733 Oak Ave.,Active,8
2025-01-18,01:39:39,Arson,41.8208,-87.6135,2803 Broadway,South,Reported arson incident at 2803 Broadway.,Closed,23
2025-01-18,02:33:11,Vandalism,41.8812,-87.6957,7346 Broadway,South,Reported vandalism incident at 7346 Broadway.,Under Investigation,37
2025-01-18,02:58:00,Larceny,41.9114,-87.7102,6308 Elm St,South,Reported larceny incident at 6308 Elm St.,Closed,32
2025-01-18,06:53:11,Larceny,41.7914,-87.5728,6348 Oak Ave,West,Reported larceny incident at 6348 Oak Ave.,Cleared by Arrest,20
2025-01-18,09:34:07,Fraud,41.8401,-87.6904,5974 Oak Ave,West,Reported fraud incident at 5974 Oak Ave.,Under Investigation,26
2025-01-18,10:21:00,Vandalism,41.811,-87.6561,2950 Maple Dr,South,Reported vandalism incident at 2950 Maple Dr.,Cleared by Arrest,5
2025-01-18,14:24:37,Property Theft,41.8337,-87.6151,7326 Broadway,North,Reported property theft incident at 7326 Broadway.,Under Investigation,14
2025-01-18,16:19:41,Public Intoxication,41.9394,-87.7227,2574 Main St,South,Reported public intoxication incident at 2574 Main St.,Closed,36
2025-01-19,03:59:54,Public Intoxication,41.9037,-87.7212,5123 Oak Ave,Central,Reported public intoxication incident at 5123 Oak Ave.,Under Investigation,11
2025-01-19,04:17:30,Loitering,41.881,-87.699,883 Main St,North,Reported loitering incident at 883 Main St.,Closed,24
2025-01-19,04:41:06,Loitering,41.7796,-87.6782,8755 Main St,East,Reported loitering incident at 8755 Main St.,Under Investigation,51
2025-01-19,10:32:27,Property Theft,41.8481,-87.585,566 Park Ln,Central,Reported property theft incident at 566 Park Ln.,Under Investigation,16
2025-01-19,14:54:02,Motor Vehicle Theft,41.9025,-87.6116,7331 Maple Dr,Downtown,Reported motor vehicle theft incident at 7331 Maple Dr.,Active,18
2025-01-20,06:09:49,Fraud,41.8896,-87.5622,8810 Oak Ave,Suburban,Reported fraud incident at 8810 Oak Ave.,Cleared by Arrest,41
2025-01-20,13:58:22,Property Theft,41.7895,-87.5522,3898 Washington Blvd,South,Reported property theft incident at 3898 Washington Blvd.,Closed,19
2025-01-20,15:20:20,Drug Trafficking,41.8216,-87.5903,4998 Cedar St,North,Reported drug trafficking incident at 4998 Cedar St.,Cleared by Arrest,35
2025-01-21,02:34:49,Larceny,41.8602,-87.5404,8397 Cedar St,Suburban,Reported larceny incident at 8397 Cedar St.,Closed,6
2025-01-21,05:27:06,Property Theft,41.918,-87.6491,6543 Washington Blvd,Central,Reported property theft incident at 6543 Washington Blvd.,Under Investigation,25
2025-01-21,06:38:25,Motor Vehicle Theft,41.9098,-87.7128,4574 Maple Dr,North,Reported motor vehicle theft incident at 4574 Maple Dr.,Under Investigation,5
2025-01-21,13:37:21,Arson,41.9421,-87.5512,6681 Cedar St,Central,Reported arson incident at 6681 Cedar St.,Under Investigation,52
2025-01-21,16:52:35,Burglary,41.929,-87.5782,5712 Washington Blvd,Central,Reported burglary incident at 5712 Washington Blvd.,Under Investigation,38
2025-01-21,19:14:25,Vandalism,41.9032,-87.6729,7565 Cedar St,Uptown,Reported vandalism incident at 7565 Cedar St.,Under Investigation,42
2025-01-21,21:58:25,Arson,41.8773,-87.687,692 Cedar St,Downtown,Reported arson incident at 692 Cedar St.,Closed,49
2025-01-22,07:33:10,Drug Possession,41.8419,-87.7108,9030 Cedar St,North,Reported drug possession incident at 9030 Cedar St.,Cleared by Arrest,15
2025-01-22,13:32:45,Vandalism,41.8655,-87.5904,4438 Broadway,Suburban,Reported vandalism incident at 4438 Broadway.,Active,18
2025-01-22,19:36:48,Robbery,41.9094,-87.6229,6187 Oak Ave,South,Reported robbery incident at 6187 Oak Ave.,Closed,10
2025-01-23,02:18:37,Narcotics Distribution,41.8535,-87.5992,9129 Elm St,South,Reported narcotics distribution incident at 9129 Elm St.,Under Investigation,27
2025-01-23,05:35:24,Homicide,41.9147,-87.6555,9002 Cedar St,Central,Reported homicide incident at 9002 Cedar St.,Closed,47
2025-01-23,07:14:02,Robbery,41.9574,-87.6767,2706 Washington Blvd,Uptown,Reported robbery incident at 2706 Washington Blvd.,Under Investigation,53
2025-01-23,09:12:14,Larceny,41.8718,-87.5666,2464 Main St,East,Reported larceny incident at 2464 Main St.,Closed,7
2025-01-23,11:17:31,Public Intoxication,41.935,-87.6323,6024 Cedar St,Downtown,Reported public intoxication incident at 6024 Cedar St.,Active,52
2025-01-23,16:18:27,Arson,41.8336,-87.6057,572 Cedar St,Central,Reported arson incident at 572 Cedar St.,Under Investigation,5
2025-01-23,16:26:06,Fraud,41.9681,-87.643,7244 Washington Blvd,Uptown,Reported fraud incident at 7244 Washington Blvd.,Cleared by Arrest,26
2025-01-24,02:49:57,Larceny,41.8407,-87.5644,6956 Park Ln,Downtown,Reported larceny incident at 6956 Park Ln.,Cleared by Arrest,8
2025-01-24,11:42:27,Violent Disorder,41.9447,-87.6411,6287 Cedar St,South,Reported violent disorder incident at 6287 Cedar St.,Active,44
2025-01-24,16:08:41,Aggravated Assault,41.8739,-87.6214,7802 Oak Ave,South,Reported aggravated assault incident at 7802 Oak Ave.,Closed,19
2025-01-25,02:39:19,Larceny,41.9232,-87.5441,3402 Main St,Uptown,Reported larceny incident at 3402 Main St.,Under Investigation,40
2025-01-25,05:39:32,Burglary,41.8376,-87.6849,4666 Park Ln,Uptown,Reported burglary incident at 4666 Park Ln.,Under Investigation,28
2025-01-25,06:58:51,Homicide,41.8938,-87.6876,6981 Broadway,Downtown,Reported homicide incident at 6981 Broadway.,Active,24
2025-01-25,17:53:25,Vandalism,41.8839,-87.6402,6280 Maple Dr,Central,Reported vandalism incident at 6280 Maple Dr.,Cleared by Arrest,47
2025-01-25,19:24:43,Narcotics Distribution,41.9288,-87.6242,2091 Washington Blvd,North,Reported narcotics distribution incident at 2091 Washington Blvd.,Closed,59
2025-01-25,19:58:41,Vandalism,41.9441,-87.5578,2815 Oak Ave,Downtown,Reported vandalism incident at 2815 Oak Ave.,Cleared by Arrest,43
2025-01-25,23:26:14,Arson,41.8418,-87.5521,6030 Main St,East,Reported arson incident at 6030 Main St.,Under Investigation,47
2025-01-25,23:46:08,Public Intoxication,41.7822,-87.6065,4291 Washington Blvd,North,Reported public intoxication incident at 4291 Washington Blvd.,Cleared by Arrest,19
2025-01-26,01:51:14,Motor Vehicle Theft,41.8424,-87.7244,5925 Main St,North,Reported motor vehicle theft incident at 5925 Main St.,Active,40
2025-01-26,03:21:09,Homicide,41.83,-87.5341,6860 Oak Ave,Downtown,Reported homicide incident at 6860 Oak Ave.,Closed,47
2025-01-26,05:45:47,Arson,41.945,-87.6262,6221 Washington Blvd,North,Reported arson incident at 6221 Washington Blvd.,Under Investigation,46
2025-01-26,07:31:44,Simple Assault,41.9219,-87.6069,3007 Maple Dr,West,Reported simple assault incident at 3007 Maple Dr.,Under Investigation,22
2025-01-26,11:11:34,Narcotics Distribution,41.8315,-87.6565,3574 Elm St,Uptown,Reported narcotics distribution incident at 3574 Elm St.,Closed,8
2025-01-26,12:44:52,Simple Assault,41.9766,-87.6778,4819 Broadway,Uptown,Reported simple assault incident at 4819 Broadway.,Closed,34
2025-01-26,12:50:44,Motor Vehicle Theft,41.8771,-87.5579,4341 Maple Dr,North,Reported motor vehicle theft incident at 4341 Maple Dr.,Cleared by Arrest,52
2025-01-26,13:08:40,Aggravated Assault,41.9751,-87.5446,2357 Main St,Suburban,Reported aggravated assault incident at 2357 Main St.,Cleared by Arrest,54
2025-01-26,17:02:53,Traffic Violation,41.8151,-87.5913,4183 Main St,East,Reported traffic violation incident at 4183 Main St.,Active,45
2025-01-26,19:28:09,Aggravated Assault,41.9334,-87.565,4702 Oak Ave,West,Reported aggravated assault incident at 4702 Oak Ave.,Cleared by Arrest,35
2025-01-26,21:22:37,Narcotics Distribution,41.8172,-87.6811,385 Cedar St,Central,Reported narcotics distribution incident at 385 Cedar St.,Under Investigation,30
2025-01-26,21:45:12,Arson,41.929,-87.6415,8618 Broadway,East,Reported arson incident at 8618 Broadway.,Active,17
2025-01-26,23:51:37,Loitering,41.9548,-87.7246,1340 Maple Dr,West,Reported loitering incident at 1340 Maple Dr.,Active,60
2025-01-27,00:49:45,Violent Disorder,41.9154,-87.6896,1535 Oak Ave,North,Reported violent disorder incident at 1535 Oak Ave.,Active,5
2025-01-27,02:38:33,Burglary,41.9125,-87.7118,3316 Broadway,East,Reported burglary incident at 3316 Broadway.,Active,51
2025-01-27,03:15:46,Robbery,41.8208,-87.5893,6067 Elm St,Uptown,Reported robbery incident at 6067 Elm St.,Closed,46
2025-01-27,03:44:48,Homicide,41.9618,-87.6986,2823 Washington Blvd,Downtown,Reported homicide incident at 2823 Washington Blvd.,Closed,21
2025-01-27,04:52:41,Motor Vehicle Theft,41.8535,-87.6627,4150 Elm St,Uptown,Reported motor vehicle theft incident at 4150 Elm St.,Cleared by Arrest,29
2025-01-27,08:41:06,Aggravated Assault,41.8905,-87.7017,6761 Maple Dr,Central,Reported aggravated assault incident at 6761 Maple Dr.,Active,11
2025-01-27,10:18:21,Robbery,41.9204,-87.595,2724 Maple Dr,East,Reported robbery incident at 2724 Maple Dr.,Under Investigation,41
2025-01-27,12:49:08,Arson,41.8273,-87.5551,7476 Elm St,North,Reported arson incident at 7476 Elm St.,Closed,30
2025-01-28,02:32:43,Vandalism,41.8891,-87.6314,8102 Elm St,East,Reported vandalism incident at 8102 Elm St.,Under Investigation,46
2025-01-28,03:37:32,Drug Trafficking,41.9621,-87.6393,9377 Cedar St,West,Reported drug trafficking incident at 9377 Cedar St.,Cleared by Arrest,58
2025-01-28,16:58:47,Property Theft,41.8186,-87.7255,9039 Park Ln,Suburban,Reported property theft incident at 9039 Park Ln.,Active,56
2025-01-28,18:07:02,Motor Vehicle Theft,41.9521,-87.6008,1926 Park Ln,Suburban,Reported motor vehicle theft incident at 1926 Park Ln.,Under Investigation,51
2025-01-28,19:22:20,Homicide,41.8965,-87.6426,1414 Broadway,East,Reported homicide incident at 1414 Broadway.,Under Investigation,10
2025-01-28,20:28:53,Loitering,41.8881,-87.6795,6714 Main St,Downtown,Reported loitering incident at 6714 Main St.,Closed,38
2025-01-29,00:32:43,Larceny,41.8683,-87.6738,206 Elm St,East,Reported larceny incident at 206 Elm St.,Closed,9
2025-01-29,00:40:10,Homicide,41.9092,-87.6178,1320 Maple Dr,North,Reported homicide incident at 1320 Maple Dr.,Active,49
2025-01-29,09:51:25,Drug Possession,41.9755,-87.5521,2162 Park Ln,Suburban,Reported drug possession incident at 2162 Park Ln.,Under Investigation,24
2025-01-29,10:33:20,Arson,41.9135,-87.6327,6057 Elm St,Suburban,Reported arson incident at 6057 Elm St.,Closed,8
2025-01-29,15:14:49,Arson,41.9072,-87.633,2157 Broadway,East,Reported arson incident at 2157 Broadway.,Active,50
2025-01-30,03:15:13,Property Theft,41.957,-87.6251,8688 Cedar St,South,Reported property theft incident at 8688 Cedar St.,Cleared by Arrest,9
2025-01-30,03:42:01,Burglary,41.8788,-87.6731,5534 Cedar St,Suburban,Reported burglary incident at 5534 Cedar St.,Closed,9
2025-01-30,11:37:26,Motor Vehicle Theft,41.9019,-87.5849,2189 Maple Dr,Suburban,Reported motor vehicle theft incident at 2189 Maple Dr.,Active,5
2025-01-30,12:15:41,Motor Vehicle Theft,41.8411,-87.7275,5901 Cedar St,Downtown,Reported motor vehicle theft incident at 5901 Cedar St.,Active,51
2025-01-30,15:34:34,Larceny,41.8059,-87.645,6672 Broadway,Suburban,Reported larceny incident at 6672 Broadway.,Under Investigation,50
2025-01-30,15:57:46,Drug Possession,41.9041,-87.6864,1809 Washington Blvd,South,Reported drug possession incident at 1809 Washington Blvd.,Closed,6
2025-01-30,18:18:23,Arson,41.9407,-87.6478,4918 Oak Ave,Uptown,Reported arson incident at 4918 Oak Ave.,Closed,5
2025-01-30,19:29:36,Burglary,41.8728,-87.5653,3237 Washington Blvd,Suburban,Reported burglary incident at 3237 Washington Blvd.,Closed,40
2025-01-30,20:52:42,Fraud,41.9705,-87.6334,1790 Main St,Uptown,Reported fraud incident at 1790 Main St.,Active,50
2025-01-30,21:54:32,Motor Vehicle Theft,41.8735,-87.6466,1598 Cedar St,Central,Reported motor vehicle theft incident at 1598 Cedar St.,Under Investigation,37
2025-01-31,01:19:27,Arson,41.9359,-87.7146,8723 Park Ln,North,Reported arson incident at 8723 Park Ln.,Closed,14
2025-01-31,06:22:43,Arson,41.9595,-87.5997,3559 Park Ln,Uptown,Reported arson incident at 3559 Park Ln.,Active,39
2025-01-31,07:32:04,Traffic Violation,41.8923,-87.5931,722 Elm St,Uptown,Reported traffic violation incident at 722 Elm St.,Cleared by Arrest,53
2025-01-31,07:54:21,Fraud,41.9447,-87.5733,7123 Park Ln,Central,Reported fraud incident at 7123 Park Ln.,Cleared by Arrest,60
2025-01-31,08:09:00,Simple Assault,41.9506,-87.6074,4834 Broadway,Uptown,Reported simple assault incident at 4834 Broadway.,Closed,15
2025-01-31,10:19:00,Arson,41.8885,-87.6665,1677 Washington Blvd,Suburban,Reported arson incident at 1677 Washington Blvd.,Closed,45
2025-01-31,12:10:29,Robbery,41.8132,-87.7191,5245 Oak Ave,Downtown,Reported robbery incident at 5245 Oak Ave.,Cleared by Arrest,39
2025-01-31,13:06:36,Disorderly Conduct,41.9487,-87.5768,8371 Cedar St,Uptown,Reported disorderly conduct incident at 8371 Cedar St.,Cleared by Arrest,51
2025-01-31,16:16:36,Motor Vehicle Theft,41.9732,-87.6551,6313 Main St,Downtown,Reported motor vehicle theft incident at 6313 Main St.,Active,53
2025-01-31,18:20:12,Property Theft,41.898,-87.5963,9773 Maple Dr,East,Reported property theft incident at 9773 Maple Dr.,Active,60
2025-01-31,23:08:28,Burglary,41.9085,-87.6395,937 Oak Ave,Central,Reported burglary incident at 937 Oak Ave.,Active,44
2025-02-01,03:21:42,Narcotics Distribution,41.9696,-87.6072,5164 Main St,Uptown,Reported narcotics distribution incident at 5164 Main St.,Active,9
2025-02-01,03:42:16,Property Theft,41.9136,-87.6489,5302 Maple Dr,Central,Reported property theft incident at 5302 Maple Dr.,Closed,17
2025-02-01,05:39:44,Arson,41.8883,-87.6242,6166 Oak Ave,Suburban,Reported arson incident at 6166 Oak Ave.,Active,53
2025-02-01,09:33:17,Fraud,41.7893,-87.5532,9818 Broadway,Uptown,Reported fraud incident at 9818 Broadway.,Cleared by Arrest,9
2025-02-01,09:42:01,Public Intoxication,41.8483,-87.7177,855 Broadway,South,Reported public intoxication incident at 855 Broadway.,Active,42
2025-02-01,10:56:18,Property Theft,41.8562,-87.6354,6875 Maple Dr,South,Reported property theft incident at 6875 Maple Dr.,Active,60
2025-02-01,12:06:38,Arson,41.9604,-87.6896,3078 Maple Dr,Suburban,Reported arson incident at 3078 Maple Dr.,Under Investigation,42
2025-02-01,13:37:03,Motor Vehicle Theft,41.9612,-87.6078,872 Broadway,South,Reported motor vehicle theft incident at 872 Broadway.,Under Investigation,45
2025-02-01,17:52:14,Larceny,41.8447,-87.7011,553 Oak Ave,Uptown,Reported larceny incident at 553 Oak Ave.,Active,38
2025-02-01,19:53:32,Drug Possession,41.8777,-87.6161,7245 Park Ln,Downtown,Reported drug possession incident at 7245 Park Ln.,Closed,49
2025-02-01,21:25:29,Narcotics Distribution,41.9131,-87.7226,1600 Cedar St,Uptown,Reported narcotics distribution incident at 1600 Cedar St.,Active,48
2025-02-02,04:42:22,Property Theft,41.8618,-87.636,4239 Maple Dr,East,Reported property theft incident at 4239 Maple Dr.,Under Investigation,31
2025-02-02,15:37:41,Narcotics Distribution,41.8289,-87.6614,2155 Park Ln,Central,Reported narcotics distribution incident at 2155 Park Ln.,Cleared by Arrest,7
2025-02-02,16:35:53,Aggravated Assault,41.9527,-87.628,9601 Cedar St,East,Reported aggravated assault incident at 9601 Cedar St.,Active,21
2025-02-02,17:57:02,Larceny,41.8494,-87.5471,9289 Cedar St,East,Reported larceny incident at 9289 Cedar St.,Cleared by Arrest,11
2025-02-02,18:51:34,Drug Possession,41.9407,-87.6889,1365 Maple Dr,South,Reported drug possession incident at 1365 Maple Dr.,Closed,31
2025-02-02,20:28:23,Vandalism,41.8273,-87.6569,4975 Elm St,East,Reported vandalism incident at 4975 Elm St.,Active,54
2025-02-03,00:18:15,Property Theft,41.806,-87.5497,4561 Washington Blvd,Downtown,Reported property theft incident at 4561 Washington Blvd.,Under Investigation,15
